isogroup40267	A0A024SH76	 Exoglucanase 2 OS=Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) OX=1344414 GN=cbh2 PE=1 SV=1
isogroup20340	A0A024SNB7	 Endoglucanase EG-1 OS=Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) OX=1344414 GN=egl1 PE=1 SV=1
isogroup35533	A0A024SNB7	 Endoglucanase EG-1 OS=Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) OX=1344414 GN=egl1 PE=1 SV=1
isogroup38970	A0A067XMP1	 Oxidoreductase ptaL OS=Pestalotiopsis fici (strain W106-1 / CGMCC3.15140) OX=1229662 GN=ptaL PE=2 SV=1
isogroup55061	A0A067XMP1	 Oxidoreductase ptaL OS=Pestalotiopsis fici (strain W106-1 / CGMCC3.15140) OX=1229662 GN=ptaL PE=2 SV=1
isogroup23257	A0A068FIK2	 Kinesin-like protein KIN-4A OS=Gossypium hirsutum OX=3635 GN=KIN4A PE=2 SV=1
isogroup49426	A0A084R1J7	 Baeyer-Villiger monooxygenase ATR8 OS=Stachybotrys chlorohalonata (strain IBT 40285) OX=1283841 GN=ATR8 PE=3 SV=1
isogroup442	A0A097ZPD9	 Dioxygenase andF OS=Emericella variicolor OX=1549217 GN=andF PE=1 SV=1
isogroup9309	A0A0C5PRQ1	 Zinc metalloproteinase dpy-31 OS=Teladorsagia circumcincta OX=45464 GN=dpy-31 PE=1 SV=1
isogroup44923	A0A0D2YG06	 Hydrolase FUB4 OS=Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) OX=426428 GN=FUB4 PE=1 SV=1
isogroup13271	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup21645	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup24245	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup26044	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup26522	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup27459	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup30492	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup30883	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup31712	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup32261	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup36963	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup38240	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup38669	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup39916	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup41481	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup432740	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup43455	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup43694	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup43833	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup57478	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup59041	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup62055	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup12871	A0A0H2VDN9	 Secretory immunoglobulin A-binding protein EsiB OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=esiB PE=1 SV=1
isogroup16784	A0A0H2VDN9	 Secretory immunoglobulin A-binding protein EsiB OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=esiB PE=1 SV=1
isogroup23813	A0A0H2VDN9	 Secretory immunoglobulin A-binding protein EsiB OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=esiB PE=1 SV=1
isogroup28876	A0A0H2VDN9	 Secretory immunoglobulin A-binding protein EsiB OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=esiB PE=1 SV=1
isogroup52949	A0A0H2VDN9	 Secretory immunoglobulin A-binding protein EsiB OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=esiB PE=1 SV=1
isogroup60173	A0A0H2VDN9	 Secretory immunoglobulin A-binding protein EsiB OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=esiB PE=1 SV=1
isogroup63969	A0A0H2VDN9	 Secretory immunoglobulin A-binding protein EsiB OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=esiB PE=1 SV=1
isogroup64216	A0A0H2VDN9	 Secretory immunoglobulin A-binding protein EsiB OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=esiB PE=1 SV=1
isogroup67592	A0A0H2VDN9	 Secretory immunoglobulin A-binding protein EsiB OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=esiB PE=1 SV=1
isogroup70382	A0A0H2VDN9	 Secretory immunoglobulin A-binding protein EsiB OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=esiB PE=1 SV=1
isogroup8424	A0A0H2VDN9	 Secretory immunoglobulin A-binding protein EsiB OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=esiB PE=1 SV=1
isogroup29944	A0A0H3HIJ5	 Autotransporter adhesin BpaC OS=Burkholderia pseudomallei (strain 1026b) OX=884204 GN=bpaC PE=1 SV=1
isogroup65396	A0A0H3LKL4	 6-hydroxynicotinate 3-monooxygenase OS=Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) OX=257310 GN=nicC PE=1 SV=1
isogroup37355	A0A0I9QGZ2	 Transketolase OS=Geobacillus stearothermophilus OX=1422 GN=tkt PE=1 SV=1
isogroup22052	A0A0N7KJT8	 APETALA2-like protein 5 OS=Oryza sativa subsp. japonica OX=39947 GN=AP2-5 PE=2 SV=1
isogroup68862	A0A0P0XM10	 Polyamine oxidase 6 OS=Oryza sativa subsp. japonica OX=39947 GN=PAO6 PE=2 SV=1
isogroup36539	A0A0P6JG37	 Acid ceramidase OS=Heterocephalus glaber OX=10181 GN=ASAH1 PE=1 SV=1
isogroup51176	A0A0P6JG37	 Acid ceramidase OS=Heterocephalus glaber OX=10181 GN=ASAH1 PE=1 SV=1
